Id,Weekly_Sales
1_3_2013-04-19,8602.7
1_3_2013-04-26,8693.9475
1_3_2013-05-03,10596.7425
1_3_2013-05-10,10100.24
1_3_2013-05-17,8442.1175
1_3_2013-05-24,8289.1725
1_3_2013-05-31,8287.55142857
1_3_2013-06-07,8338.1575
1_3_2013-06-14,7947.8825
1_3_2013-06-21,7526.3225
1_3_2013-06-28,7330.9975
1_3_2013-07-05,8196.9075
1_3_2013-07-12,12739.14
1_3_2013-07-19,19112.5875
1_3_2013-07-26,21270.18
1_4_2012-11-02,38805.124
1_4_2012-11-09,36099.124
1_4_2012-11-16,37425.392
1_4_2012-11-23,46418.992
1_4_2012-11-30,37355.03043478
1_4_2012-12-07,37783.31
1_4_2012-12-14,38621.646
1_4_2012-12-21,47828.85
1_4_2012-12-28,37188.252
1_4_2013-01-04,39734.576
1_4_2013-01-11,35706.996
1_4_2013-01-18,33762.352
1_4_2013-01-25,33330.698
1_4_2013-02-01,38513.094
1_4_2013-02-08,38532.41
1_4_2013-02-15,36521.976
1_4_2013-02-22,34443.182
1_4_2013-03-01,38330.975
1_4_2013-03-08,38008.3575
1_4_2013-03-15,36761.1575
1_4_2013-03-22,36143.17
1_4_2013-03-29,36756.9
1_4_2013-04-05,40997.53
1_4_2013-04-12,37130.5525
1_4_2013-04-19,36045.6975
1_4_2013-04-26,36122.5825
1_4_2013-05-03,40880.085
1_4_2013-05-10,36172.13
1_4_2013-05-17,34436.57
1_4_2013-05-24,37900.435
1_4_2013-05-31,36556.22857143
1_4_2013-06-07,39687.2175
1_4_2013-06-14,38409.795
1_4_2013-06-21,36815.1125
1_4_2013-06-28,38432.75
1_4_2013-07-05,43490.2175
1_4_2013-07-12,38500.795
1_4_2013-07-19,37217.5425
1_4_2013-07-26,35554.37
1_5_2012-11-02,28735.166
1_5_2012-11-09,28081.146
1_5_2012-11-16,26290.218
1_5_2012-11-23,75667.634
1_5_2012-11-30,25970.91086957
1_5_2012-12-07,44876.146
1_5_2012-12-14,49923.612
1_5_2012-12-21,71160.728
1_5_2012-12-28,33901.384
1_5_2013-01-04,22943.362
1_5_2013-01-11,18547.114
1_5_2013-01-18,18954.28
1_5_2013-01-25,21673.332
1_5_2013-02-01,29496.706
1_5_2013-02-08,37524.684
1_5_2013-02-15,40169.024
1_5_2013-02-22,28026.852
1_5_2013-03-01,30207.49
1_5_2013-03-08,25045.25
1_5_2013-03-15,27384.02
1_5_2013-03-22,23761.4025
1_5_2013-03-29,26537.04
1_5_2013-04-05,28782.0875
1_5_2013-04-12,18472.86
1_5_2013-04-19,17930.2975
1_5_2013-04-26,19068.7875
1_5_2013-05-03,18263.6875
1_5_2013-05-10,17773.3325
1_5_2013-05-17,17689.7125
1_5_2013-05-24,18122.7475
1_5_2013-05-31,16140.04857143
1_5_2013-06-07,23226.925
1_5_2013-06-14,21486.8125
1_5_2013-06-21,23676.74
1_5_2013-06-28,19939.07
1_5_2013-07-05,19485.2875
1_5_2013-07-12,18629.5925
1_5_2013-07-19,18255.2275
1_5_2013-07-26,14907.415
1_6_2012-11-02,5748.614
1_6_2012-11-09,3815.908
1_6_2012-11-16,2987.648
1_6_2012-11-23,19243.374
1_6_2012-11-30,3093.15565217
1_6_2012-12-07,6604.67
1_6_2012-12-14,10844.684
1_6_2012-12-21,22757.674
1_6_2012-12-28,6329.06
1_6_2013-01-04,2749.61
1_6_2013-01-11,2418.896
1_6_2013-01-18,2322.012
1_6_2013-01-25,2269.912
1_6_2013-02-01,3718.638
1_6_2013-02-08,6220.43
1_6_2013-02-15,4147.424
1_6_2013-02-22,3951.984
1_6_2013-03-01,5819.105
1_6_2013-03-08,4119.675
1_6_2013-03-15,4334.04
1_6_2013-03-22,3269.6975
1_6_2013-03-29,5272.285
1_6_2013-04-05,4606.475
1_6_2013-04-12,4482.29
1_6_2013-04-19,2990.4875
1_6_2013-04-26,3475.7875
1_6_2013-05-03,5297.0175
1_6_2013-05-10,4550.5475
1_6_2013-05-17,6268.65
1_6_2013-05-24,5241.5325
1_6_2013-05-31,5911.34428571
1_6_2013-06-07,4436.33
1_6_2013-06-14,4086.195
1_6_2013-06-21,4628.2975
1_6_2013-06-28,4640.65
1_6_2013-07-05,3256.5
1_6_2013-07-12,2871.31
1_6_2013-07-19,3538.7775
1_6_2013-07-26,3348.7475
1_7_2012-11-02,22164.408
1_7_2012-11-09,23973.29
1_7_2012-11-16,22897.384
1_7_2012-11-23,71744.828
1_7_2012-11-30,23184.75652174
1_7_2012-12-07,54209.602
1_7_2012-12-14,80185.884
1_7_2012-12-21,138260.378
1_7_2012-12-28,33902.83
1_7_2013-01-04,14433.12
1_7_2013-01-11,9826.39
1_7_2013-01-18,11176.698
1_7_2013-01-25,12319.85
1_7_2013-02-01,16829.97
1_7_2013-02-08,21439.054
1_7_2013-02-15,19929.644
1_7_2013-02-22,19098.614
1_7_2013-03-01,17257.2825
1_7_2013-03-08,18201.365
1_7_2013-03-15,20899.7925
1_7_2013-03-22,16710.9425
1_7_2013-03-29,18076.5525
1_7_2013-04-05,25985.4625
1_7_2013-04-12,20965.4925
1_7_2013-04-19,20444.2875
1_7_2013-04-26,18661.9975
1_7_2013-05-03,22066.1225
1_7_2013-05-10,22392.005
1_7_2013-05-17,19077.92
1_7_2013-05-24,28188.1975
1_7_2013-05-31,32550.98714286
1_7_2013-06-07,32181.7925
1_7_2013-06-14,26414.53
1_7_2013-06-21,24530.785
1_7_2013-06-28,25286.0875
1_7_2013-07-05,25696.62
1_7_2013-07-12,17521.7325
1_7_2013-07-19,16396.65
1_7_2013-07-26,17885.7875
1_8_2012-11-02,36648.72
1_8_2012-11-09,34613.168
1_8_2012-11-16,34205.434
1_8_2012-11-23,33586.122
1_8_2012-11-30,34520.70304348
1_8_2012-12-07,37011.208
1_8_2012-12-14,37074.024
1_8_2012-12-21,41383.148
1_8_2012-12-28,32552.56
1_8_2013-01-04,36717.984
1_8_2013-01-11,34111.654
1_8_2013-01-18,35032.632
1_8_2013-01-25,34830.85
1_8_2013-02-01,40003.014
1_8_2013-02-08,37395.17
1_8_2013-02-15,36501.526
1_8_2013-02-22,36000.98
1_8_2013-03-01,39322.7875
1_8_2013-03-08,36019.2125
1_8_2013-03-15,35691.6125
1_8_2013-03-22,33458.5675
1_8_2013-03-29,36704.7125
1_8_2013-04-05,40976.065
1_8_2013-04-12,36027.47
1_8_2013-04-19,35906.22
1_8_2013-04-26,37135.3525
1_8_2013-05-03,40531.8325
1_8_2013-05-10,37125.3425
1_8_2013-05-17,36645.86
1_8_2013-05-24,38293.28
1_8_2013-05-31,35442.96571429
1_8_2013-06-07,39202.0775
1_8_2013-06-14,37131.9525
1_8_2013-06-21,36773.95
1_8_2013-06-28,36668.39
1_8_2013-07-05,40039.1
1_8_2013-07-12,35431.58
1_8_2013-07-19,36849.555
1_8_2013-07-26,36323.955
1_9_2012-11-02,49923.176
1_9_2012-11-09,37469.074
1_9_2012-11-16,28384.17
1_9_2012-11-23,43138.942
1_9_2012-11-30,28217.26565217
1_9_2012-12-07,27290.596
1_9_2012-12-14,30655.826
1_9_2012-12-21,46177.406
1_9_2012-12-28,25469.37
1_9_2013-01-04,18875.878
1_9_2013-01-11,14535.78
1_9_2013-01-18,12541.998
1_9_2013-01-25,14122.634
1_9_2013-02-01,19176.314
1_9_2013-02-08,19017.298
1_9_2013-02-15,23097.164
1_9_2013-02-22,25381.606
1_9_2013-03-01,29647.1775
1_9_2013-03-08,28183.9975
1_9_2013-03-15,34857.775
1_9_2013-03-22,34418.535
1_9_2013-03-29,44761.345
1_9_2013-04-05,37285.26
1_9_2013-04-12,31381.1225
1_9_2013-04-19,28248.23
1_9_2013-04-26,28935.97
1_9_2013-05-03,29653.5875
1_9_2013-05-10,27929.695
1_9_2013-05-17,25599.97
1_9_2013-05-24,28554.9825
1_9_2013-05-31,28265.74
1_9_2013-06-07,29540.825
1_9_2013-06-14,29384.0825
1_9_2013-06-21,27420.68
1_9_2013-06-28,24939.52
1_9_2013-07-05,30800.015
1_9_2013-07-12,22923.1975
1_9_2013-07-19,21188.925
1_9_2013-07-26,21960.7825
1_10_2012-11-02,31570.728
1_10_2012-11-09,29923.312
1_10_2012-11-16,27234.77
1_10_2012-11-23,30962.782
1_10_2012-11-30,26997.72565217
1_10_2012-12-07,30476.106
1_10_2012-12-14,29933.686
1_10_2012-12-21,30790.758
1_10_2012-12-28,25994.204
1_10_2013-01-04,27756.506
1_10_2013-01-11,23620.778
1_10_2013-01-18,24740.102
1_10_2013-01-25,24679.34
1_10_2013-02-01,33329.336
1_10_2013-02-08,36928.052
1_10_2013-02-15,38107.772
1_10_2013-02-22,35763.82
1_10_2013-03-01,38338.735
1_10_2013-03-08,34034.2875
1_10_2013-03-15,32105.825
1_10_2013-03-22,35714.095
1_10_2013-03-29,40640.2775
1_10_2013-04-05,35448.2275
1_10_2013-04-12,30403.7175
1_10_2013-04-19,31740.2825
1_10_2013-04-26,29347.74
1_10_2013-05-03,34076.145
1_10_2013-05-10,32429.4625
1_10_2013-05-17,29900.9825
1_10_2013-05-24,33211.4125
1_10_2013-05-31,30612.28
1_10_2013-06-07,35011.055
1_10_2013-06-14,31471.26
1_10_2013-06-21,32096.2425
1_10_2013-06-28,32768.405
1_10_2013-07-05,36836.9875
1_10_2013-07-12,31857.4825
1_10_2013-07-19,29255.2225
1_10_2013-07-26,30465.55
1_11_2012-11-02,26507.262
1_11_2012-11-09,22877.22
1_11_2012-11-16,22145.112
1_11_2012-11-23,29335.676
1_11_2012-11-30,22368.00782609
1_11_2012-12-07,34316.814
1_11_2012-12-14,28189.848
1_11_2012-12-21,31939.836
1_11_2012-12-28,23395.474
1_11_2013-01-04,24398.544
1_11_2013-01-11,28279.448
1_11_2013-01-18,20779.164
1_11_2013-01-25,18732.706
1_11_2013-02-01,23354.142
1_11_2013-02-08,22644.536
1_11_2013-02-15,23230.622
1_11_2013-02-22,20818.952
1_11_2013-03-01,22659.1725
1_11_2013-03-08,22056.2525
1_11_2013-03-15,23097.4
1_11_2013-03-22,24945.54
1_11_2013-03-29,23321.47
1_11_2013-04-05,27169.5625
1_11_2013-04-12,22787.3975
1_11_2013-04-19,22766.685
1_11_2013-04-26,19869.9825
1_11_2013-05-03,29654.7175
1_11_2013-05-10,28863.8175
1_11_2013-05-17,23334.815
1_11_2013-05-24,26994.565
1_11_2013-05-31,27882.90285714
1_11_2013-06-07,37249.2375
1_11_2013-06-14,27553.81
1_11_2013-06-21,28507.505
1_11_2013-06-28,43280.235
1_11_2013-07-05,33919.8725
1_11_2013-07-12,26343.1575
1_11_2013-07-19,27953.455
1_11_2013-07-26,32111.37
1_12_2012-11-02,9717.264
1_12_2012-11-09,10655.54
1_12_2012-11-16,9117.062
1_12_2012-11-23,8537.788
1_12_2012-11-30,8887.28304348
1_12_2012-12-07,7690.36
1_12_2012-12-14,7563.66
1_12_2012-12-21,7916.582
1_12_2012-12-28,7384.58
1_12_2013-01-04,7790.11
1_12_2013-01-11,7522.238
1_12_2013-01-18,8219.726
1_12_2013-01-25,8052.61
1_12_2013-02-01,9069.43
1_12_2013-02-08,8809.254
1_12_2013-02-15,10151.31
1_12_2013-02-22,11092.406
1_12_2013-03-01,12150.49
1_12_2013-03-08,11900.7925
1_12_2013-03-15,12230.6375
1_12_2013-03-22,11642.3225
1_12_2013-03-29,12048.29
1_12_2013-04-05,11068.9025
1_12_2013-04-12,11129.5925
1_12_2013-04-19,12159.4675
1_12_2013-04-26,11699.2275
1_12_2013-05-03,12190.5075
1_12_2013-05-10,11755.82
1_12_2013-05-17,11246.0625
1_12_2013-05-24,12551.55
1_12_2013-05-31,11912.97
1_12_2013-06-07,11217.785
1_12_2013-06-14,11105.49
1_12_2013-06-21,10112.1
1_12_2013-06-28,11502.835
1_12_2013-07-05,13511.7325
1_12_2013-07-12,9810.455
1_12_2013-07-19,12287.605
1_12_2013-07-26,11267.8875
1_13_2012-11-02,41578.836
1_13_2012-11-09,37080.474
1_13_2012-11-16,37625.196
1_13_2012-11-23,38524.084
1_13_2012-11-30,37791.78869565
1_13_2012-12-07,35742.464
1_13_2012-12-14,33764.474
1_13_2012-12-21,37010.334
1_13_2012-12-28,33355.778
1_13_2013-01-04,40752.664
1_13_2013-01-11,36267.57
1_13_2013-01-18,36844.992
1_13_2013-01-25,35116.032
1_13_2013-02-01,41313.316
1_13_2013-02-08,40578.434
1_13_2013-02-15,38215.668
1_13_2013-02-22,39183.018
1_13_2013-03-01,43993.3325
1_13_2013-03-08,39395.7825
1_13_2013-03-15,37700.39
1_13_2013-03-22,37537.595
1_13_2013-03-29,37880.5925
1_13_2013-04-05,42728.8575
1_13_2013-04-12,38734.3175
1_13_2013-04-19,38491.065
1_13_2013-04-26,38322.905
1_13_2013-05-03,42816.2575
1_13_2013-05-10,39199.735
1_13_2013-05-17,37518.3925
1_13_2013-05-24,37957.1025
1_13_2013-05-31,37428.49571429
1_13_2013-06-07,41248.45
1_13_2013-06-14,39182.83
1_13_2013-06-21,39000.0725
1_13_2013-06-28,39748.9275
1_13_2013-07-05,42798.925
1_13_2013-07-12,38698.6175
1_13_2013-07-19,39044.98
1_13_2013-07-26,38205.5
1_14_2012-11-02,13817.5
1_14_2012-11-09,14477.132
1_14_2012-11-16,18597.686
1_14_2012-11-23,39167.126
1_14_2012-11-30,18839.39782609
1_14_2012-12-07,22146.516
1_14_2012-12-14,28764.32
1_14_2012-12-21,46851.232
1_14_2012-12-28,24242.216
1_14_2013-01-04,15849.296
1_14_2013-01-11,14030.474
1_14_2013-01-18,12773.372
1_14_2013-01-25,12285.33
1_14_2013-02-01,14970.864
1_14_2013-02-08,17234.476
1_14_2013-02-15,19716.396
1_14_2013-02-22,17308.998
1_14_2013-03-01,18879.475
1_14_2013-03-08,16018.8375
1_14_2013-03-15,13401.3325
1_14_2013-03-22,13080.065
1_14_2013-03-29,14225.82
1_14_2013-04-05,15322.9775
1_14_2013-04-12,14418.365
1_14_2013-04-19,13301.315
1_14_2013-04-26,14365.9425
1_14_2013-05-03,16100.4425
1_14_2013-05-10,15268.5525
1_14_2013-05-17,15914.4675
1_14_2013-05-24,13826.6075
1_14_2013-05-31,12444.63142857
1_14_2013-06-07,12592.9725
1_14_2013-06-14,13967.205
1_14_2013-06-21,13042.16
1_14_2013-06-28,15964.1275
1_14_2013-07-05,17637.9775
1_14_2013-07-12,13600.6325
1_14_2013-07-19,11982.7575
1_14_2013-07-26,12516.3425
1_16_2012-11-02,6362.064
1_16_2012-11-09,6496.03
1_16_2012-11-16,4896.776
1_16_2012-11-23,8730.578
1_16_2012-11-30,4973.7626087
1_16_2012-12-07,4982.612
1_16_2012-12-14,4973.652
1_16_2012-12-21,7185.164
1_16_2012-12-28,5026.786
1_16_2013-01-04,5884.636
1_16_2013-01-11,5827.168
1_16_2013-01-18,5678.46
1_16_2013-01-25,6211.656
1_16_2013-02-01,9074.63
1_16_2013-02-08,11919.874
1_16_2013-02-15,13516.482
1_16_2013-02-22,21225.996
1_16_2013-03-01,29997.12
1_16_2013-03-08,31322.495
1_16_2013-03-15,39661.72
1_16_2013-03-22,45942.6275
1_16_2013-03-29,48126.5725
1_16_2013-04-05,56149.9
1_16_2013-04-12,54754.965
1_16_2013-04-19,44345.98
1_16_2013-04-26,44345.95
1_16_2013-05-03,42471.0725
1_16_2013-05-10,42397.2975
1_16_2013-05-17,39165.755
1_16_2013-05-24,41920.6025
1_16_2013-05-31,42884.05714286
1_16_2013-06-07,35613.71
1_16_2013-06-14,32625.775
1_16_2013-06-21,35922.695
1_16_2013-06-28,36788.635
1_16_2013-07-05,40114.5
1_16_2013-07-12,26109.385
1_16_2013-07-19,23211.53
1_16_2013-07-26,24039.3225
1_17_2012-11-02,8356.814
1_17_2012-11-09,7831.346
1_17_2012-11-16,9769.664
1_17_2012-11-23,12732.736
1_17_2012-11-30,9833.93130435
1_17_2012-12-07,11057.754
1_17_2012-12-14,12380.344
1_17_2012-12-21,19014.762
1_17_2012-12-28,10543.334
1_17_2013-01-04,8284.738
1_17_2013-01-11,9073.858
1_17_2013-01-18,7844.858
1_17_2013-01-25,7432.254
1_17_2013-02-01,8773.622
1_17_2013-02-08,10704.122
1_17_2013-02-15,12056.014
1_17_2013-02-22,10365.71
1_17_2013-03-01,11639.1775
1_17_2013-03-08,11097.6225
1_17_2013-03-15,9590.9625
1_17_2013-03-22,7843.65
1_17_2013-03-29,8549.76
1_17_2013-04-05,8651.4475
1_17_2013-04-12,7242.0975
1_17_2013-04-19,8691.0475
1_17_2013-04-26,7910.4325
1_17_2013-05-03,9328.78
1_17_2013-05-10,8465.7175
1_17_2013-05-17,8955.0875
1_17_2013-05-24,7227.01
1_17_2013-05-31,7912.48285714
1_17_2013-06-07,8859.58
1_17_2013-06-14,7219.3575
1_17_2013-06-21,7176.76
1_17_2013-06-28,8532.2625
1_17_2013-07-05,8350.88
1_17_2013-07-12,7341.325
1_17_2013-07-19,7353.295
1_17_2013-07-26,8554.94
1_18_2012-11-02,13293.754
1_18_2012-11-09,9679.682
1_18_2012-11-16,14503.998
1_18_2012-11-23,31912.81
1_18_2012-11-30,14608.79347826
1_18_2012-12-07,43575.316
1_18_2012-12-14,34407.61
1_18_2012-12-21,22522.848
1_18_2012-12-28,21180.006
1_18_2013-01-04,6283.296
1_18_2013-01-11,1370.67
1_18_2013-01-18,1512.874
1_18_2013-01-25,1891.25
1_18_2013-02-01,3659.126
1_18_2013-02-08,13447.638
1_18_2013-02-15,25069.298
1_18_2013-02-22,1567.432
1_18_2013-03-01,987.7175
1_18_2013-03-08,845.305
1_18_2013-03-15,1541.5775
1_18_2013-03-22,1885.75
1_18_2013-03-29,3760.035
1_18_2013-04-05,11246.265
1_18_2013-04-12,6019.2025
1_18_2013-04-19,3388.08
1_18_2013-04-26,19.82
1_18_2013-05-03,169.6675
1_18_2013-05-10,60.245
1_18_2013-05-17,1.15
1_18_2013-05-24,1.565
1_18_2013-06-07,3.9775
1_18_2013-07-05,0.44285714
1_19_2012-11-02,1030.734
1_19_2012-11-09,1267.288
1_19_2012-11-16,1170.316
1_19_2012-11-23,944.628
1_19_2012-11-30,1285.12695652
1_19_2012-12-07,1680.116
1_19_2012-12-14,1518.47
1_19_2012-12-21,1679.77
1_19_2012-12-28,1021.136
1_19_2013-01-04,746.616
1_19_2013-01-11,823.772
1_19_2013-01-18,707.014
1_19_2013-01-25,779.268
1_19_2013-02-01,1214.748
1_19_2013-02-08,1122.308
1_19_2013-02-15,1047.854
1_19_2013-02-22,1384.35
1_19_2013-03-01,945.74
1_19_2013-03-08,1529.04
1_19_2013-03-15,1390.585
1_19_2013-03-22,1101.41
1_19_2013-03-29,1268.19
1_19_2013-04-05,1035.25
1_19_2013-04-12,1035.4575
1_19_2013-04-19,1212.5875
1_19_2013-04-26,787.44
1_19_2013-05-03,1170.91
1_19_2013-05-10,1790.785
1_19_2013-05-17,1399.9575
1_19_2013-05-24,1084.5875
1_19_2013-05-31,1203.17714286
1_19_2013-06-07,1161.35
1_19_2013-06-14,1057.965
1_19_2013-06-21,1244.23
1_19_2013-06-28,1131.245
1_19_2013-07-05,1280.9075
1_19_2013-07-12,1077.24
1_19_2013-07-19,889.1525
1_19_2013-07-26,1152.9625
1_20_2012-11-02,3092.768
1_20_2012-11-09,2955.386
1_20_2012-11-16,2924.786
1_20_2012-11-23,5652.812
1_20_2012-11-30,2996.16652174
1_20_2012-12-07,2912.186
1_20_2012-12-14,3487.104
1_20_2012-12-21,4804.558
1_20_2012-12-28,3750.01
1_20_2013-01-04,3235.362
1_20_2013-01-11,3924.718
1_20_2013-01-18,3348.35
1_20_2013-01-25,3247.416
1_20_2013-02-01,3887.438
1_20_2013-02-08,4923.954
1_20_2013-02-15,4978.892
1_20_2013-02-22,4346.976
1_20_2013-03-01,5144.375
1_20_2013-03-08,6525.9125
1_20_2013-03-15,5399.41
1_20_2013-03-22,3882.855
1_20_2013-03-29,4997.375
1_20_2013-04-05,3768.1875
1_20_2013-04-12,3339.615
1_20_2013-04-19,4077.8575
1_20_2013-04-26,4385.78
1_20_2013-05-03,4429.94
1_20_2013-05-10,4376.
1_20_2013-05-17,5104.9475
1_20_2013-05-24,4738.4025
1_20_2013-05-31,5113.34571429
1_20_2013-06-07,4940.7675
1_20_2013-06-14,4249.07
1_20_2013-06-21,4838.33
1_20_2013-06-28,4906.6375
1_20_2013-07-05,5603.9
1_20_2013-07-12,4140.9775
1_20_2013-07-19,4708.7475
1_20_2013-07-26,3939.7075
1_21_2012-11-02,8314.174
1_21_2012-11-09,8433.29
1_21_2012-11-16,7649.984
1_21_2012-11-23,9732.088
1_21_2012-11-30,7598.1
1_21_2012-12-07,9476.154
1_21_2012-12-14,10567.436
1_21_2012-12-21,13109.96
1_21_2012-12-28,6937.426
1_21_2013-01-04,7379.164
1_21_2013-01-11,6798.276
1_21_2013-01-18,6829.876
1_21_2013-01-25,6992.894
1_21_2013-02-01,7833.842
1_21_2013-02-08,8303.822
1_21_2013-02-15,8830.452
1_21_2013-02-22,7735.304
1_21_2013-03-01,9413.605
1_21_2013-03-08,7415.3375
1_21_2013-03-15,8084.505
1_21_2013-03-22,7277.6775
1_21_2013-03-29,8088.55
1_21_2013-04-05,9670.7025
1_21_2013-04-12,7456.1125
1_21_2013-04-19,6756.8225
1_21_2013-04-26,7452.995
1_21_2013-05-03,7929.79
1_21_2013-05-10,7429.5175
1_21_2013-05-17,7320.03
1_21_2013-05-24,6868.8475
1_21_2013-05-31,7836.46571429
1_21_2013-06-07,7304.9525
1_21_2013-06-14,7388.2025
1_21_2013-06-21,7741.7625
1_21_2013-06-28,6903.625
1_21_2013-07-05,7361.3375
1_21_2013-07-12,6817.66
1_21_2013-07-19,6629.155
1_21_2013-07-26,6546.485
1_22_2012-11-02,8535.388
1_22_2012-11-09,6892.402
1_22_2012-11-16,7413.46
1_22_2012-11-23,18640.91
1_22_2012-11-30,7476.40521739
1_22_2012-12-07,10924.394
1_22_2012-12-14,11193.712
1_22_2012-12-21,17656.676
1_22_2012-12-28,11023.582
1_22_2013-01-04,8496.414
1_22_2013-01-11,8389.318
1_22_2013-01-18,6116.33
1_22_2013-01-25,6370.86
1_22_2013-02-01,10902.37
1_22_2013-02-08,11439.184
1_22_2013-02-15,11731.762
1_22_2013-02-22,8844.07
1_22_2013-03-01,11385.0125
1_22_2013-03-08,10610.3875
1_22_2013-03-15,8464.015
1_22_2013-03-22,7038.0075
1_22_2013-03-29,8270.3325
1_22_2013-04-05,7494.0925
1_22_2013-04-12,6280.355
1_22_2013-04-19,6993.19
1_22_2013-04-26,6005.635
1_22_2013-05-03,7668.195
1_22_2013-05-10,6566.3575
1_22_2013-05-17,6463.47
1_22_2013-05-24,6786.2225
1_22_2013-05-31,6064.17285714
1_22_2013-06-07,6556.2025
1_22_2013-06-14,5792.655
1_22_2013-06-21,6882.815
1_22_2013-06-28,6020.805
1_22_2013-07-05,6347.67
1_22_2013-07-12,5817.21
1_22_2013-07-19,6604.58
1_22_2013-07-26,6768.0375
1_23_2012-11-02,24888.568
1_23_2012-11-09,21339.376
1_23_2012-11-16,20717.232
1_23_2012-11-23,32440.662
1_23_2012-11-30,21202.09826087
1_23_2012-12-07,32478.478
1_23_2012-12-14,35821.816
1_23_2012-12-21,56099.492
1_23_2012-12-28,21476.4
1_23_2013-01-04,17104.07
1_23_2013-01-11,17447.712
1_23_2013-01-18,15281.476
1_23_2013-01-25,13780.532
1_23_2013-02-01,20894.206
1_23_2013-02-08,24423.364
1_23_2013-02-15,24737.81
1_23_2013-02-22,19959.28
1_23_2013-03-01,22096.025
1_23_2013-03-08,21176.1775
1_23_2013-03-15,18899.96
1_23_2013-03-22,20140.5525
1_23_2013-03-29,22293.975
1_23_2013-04-05,23120.01
1_23_2013-04-12,20172.48
1_23_2013-04-19,20505.3275
1_23_2013-04-26,18035.23
1_23_2013-05-03,21460.475
1_23_2013-05-10,21695.6375
1_23_2013-05-17,18168.1275
1_23_2013-05-24,20902.595
1_23_2013-05-31,22494.92857143
1_23_2013-06-07,23152.3325
1_23_2013-06-14,24645.07
1_23_2013-06-21,26020.5775
1_23_2013-06-28,24067.415
1_23_2013-07-05,23008.6275
1_23_2013-07-12,18287.6775
1_23_2013-07-19,18085.5525
1_23_2013-07-26,18629.4225
1_24_2012-11-02,6858.44
1_24_2012-11-09,5889.762
1_24_2012-11-16,5670.448
1_24_2012-11-23,11274.484
